Slide,Title,Presenter,Content,Notes
12,COMPETÊNCIA VETORIAL: BASE MOLECULAR,,"DIA 0: INFECÇÃO INICIAL:
• Ingestão sangue virêmico (>10⁵ cópias/mL)
• Vírus infecta epitélio intestinal

DIAS 1-7: REPLICAÇÃO INTESTINAL:
• Multiplicação no intestino médio
• Superação barreira intestinal
• Disseminação para hemocele

DIAS 7-12: DISSEMINAÇÃO SISTÊMICA:
• Migração para glândulas salivares
• Superação barreira salivar
• Replicação nos acini glandulares

DIAS 12-45: TRANSMISSÃO ATIVA:
• Vírus viável na saliva (10³-10⁴ partículas/picada)
• Competência vitalícia
• Transmissão a cada repasto

DESTAQUE: FATOR CRÍTICO: 1°C ↑ = 2-3 dias período","Fontes: Franz et al., 2015. PLoS Negl Trop Dis; Tesla et al., 2018. Proc R Soc B"
13,RESISTÊNCIA: PROBLEMA CRESCENTE,,"MECANISMOS MOLECULARES:
• Mutações genes-alvo (kdr, ace-1)
• Enzimas detoxificantes ↑
• Resistência comportamental
• Resistência cuticular

IMPACTO ECONÔMICO:
• Doses maiores necessárias
• Produtos mais caros
• Eficácia decrescente
• R 3-5 bilhões anuais Brasil

CONSEQUÊNCIAS:
• Falha controle químico
• Surtos epidêmicos
• Necessidade métodos alternativos

ESTRATÉGIAS MANEJO:
• Rotação inseticidas
• Monitoramento resistência
• Controle integrado

DESTAQUE: SITUAÇÃO ATUAL BRASIL 60% populações Aedes resistentes Resistência múltipla (organofosforados + piretróides) Expansão geográfica da resistência","Fontes: Macoris et al., 2018. PLoS Negl Trop Dis; Garcia et al., 2018. PLoS One"
14,FENÔMENO ÚNICO MUNDIAL,,DESTAQUE: CO-CIRCULAÇÃO VIRAL Diagnóstico diferencial complexo,"Fontes: Vasilakis Weaver, 2017. Curr Opin Virol; Wilder-Smith et al., 2017. Nature Rev Dis Primers"
15,DENGUE: PATOGÊNESE MOLECULAR,‍ ALUNO 3 - Doenças Específicas: Patogênese e Clínica Duração: 5:00 - 7:30,"CARACTERÍSTICAS VIRAIS:
• Família: Flaviviridae
• Genoma: RNA (+) 11kb
• 4 sorotipos: DENV-1, 2, 3, 4
• Proteínas: 3 estruturais, 7 não-estruturais

TROPISMO CELULAR:
• Alvos: Monócitos, macrófagos, células dendríticas
• Receptores: DC-SIGN, Hsp90, Hsp70
• Barreira: Endotélio vascular

MECANISMOS PATOGÊNICOS:
• ADE (Antibody-Dependent Enhancement)
• Tempestade de citocinas (TNF-α, IL-6)
• NS1 solúvel → disfunção endotelial
• Coagulopatia de consumo
• Extravasamento plasmático

DESTAQUE: ADE CRÍTICO Infecção secundária = doença GRAVE","Fontes: Halstead, 1988. Science; Martina et al., 2009. PLoS Pathog"
16,DENGUE: CLASSIFICAÇÃO CLÍNICA OMS,,"DENGUE SEM SINAIS ALARME (90%):
• Febre 39-40°C (2-7 dias)
• Cefaleia intensa, dor retroorbital
• Mialgia, artralgia severas
• Exantema tardio, prova laço (+)

DENGUE COM SINAIS ALARME (8%):
• Dor abdominal intensa
• Vômitos persistentes
• Sangramento mucosas
• Hepatomegalia >2cm
• Letargia/irritabilidade

DENGUE GRAVE (2%):
• Choque por extravasamento plasmático
• Sangramento grave (hematemese, melena)
• Disfunção orgânica (hepatite, miocardite)

DESTAQUE: BRASIL 2024: 82.908 casos graves (+307,8%) MORTALIDADE: 0,05-5% (manejo dependente)

DESTAQUE: DISTRIBUIÇÃO CASOS 90% SEM SINAIS ALARME | 8% COM ALARME | 2% GRAVE","Fontes: WHO, 2009. Dengue Guidelines; Brasil. MS. Boletim Epidemiológico 2024"
17,ZIKA: NEUROTROPISMO E TERATOGENIA,,"CARACTERÍSTICAS VIRAIS

SÍNDROME CONGÊNITA ZIKA

RISCO GESTACIONAL

ADULTOS - COMPLICAÇÕES NEUROLÓGICAS

DESTAQUE: NEUROINVASÃO Barreira Hematoencefálica

DESTAQUE: TRANSMISSÃO SEXUAL: 6 MESES","Fontes: Musso et al., 2015. Eurosurveillance; Mlakar et al., 2016. NEJM"
18,CHIKUNGUNYA: AQUELE QUE SE CURVA,,"FASE AGUDA (0-14 dias)

FASE SUBAGUDA (15 dias - 3 meses)

FASE CRÔNICA (>3 meses)

DESTAQUE: FATORES RISCO CRONIFICAÇÃO >40 anos

DESTAQUE: PATOGÊNESE ARTICULAR Tropismo: sinoviócitos","Fontes: Schilte et al., 2013. PLoS Negl Trop Dis; Couturier et al., 2012. PLoS One"
19,FEBRE AMARELA: CICLOS EPIDEMIOLÓGICOS,,"CICLO SILVESTRE (Atual):
• Vetores: Haemagogus, Sabethes
• Hospedeiros: Primatas não-humanos
• Ambiente: Florestas, matas ciliares
• Humanos: Hospedeiros acidentais
• Casos: Esporádicos, ocupacionais

CICLO URBANO (Eliminado 1942):
• Vetor: Aedes aegypti exclusivo
• Hospedeiros: Humanos exclusivos
• Transmissão: Antroponótica
• Risco: Reintrodução possível

DESTAQUE: PROGNÓSTICO 85% recuperação na remissão 15% evolui toxêmica → 20-50% mortalidade

DESTAQUE: VACINA 17D: >95% eficácia, imunidade vitalícia 2024-2025: 4 óbitos São Paulo","Fontes: Monath, 2001. Vaccine; Vasconcelos, 2003. Rev Inst Med Trop SP"
20,OROPOUCHE: NOVA AMEAÇA EMERGENTE,,"VETOR: Culicoides paraensis (maruim):
• Tamanho: 1-3mm (menor que Aedes)
• Atividade: Crepuscular
• Habitat: Áreas úmidas, rurais

EXPANSÃO GEOGRÁFICA:
• Espírito Santo: 95% casos brasileiros
• Rio de Janeiro: 99 casos
• Minas Gerais: 30 casos
• Interiorização preocupante

TRANSMISSÃO VERTICAL CONFIRMADA:
• Microcefalia em recém-nascidos
• Óbitos fetais documentados
• Risco similar ao Zika

CARACTERÍSTICAS:
• Família: Peribunyaviridae
• Descoberta: 1960 (bicho-preguiça)
• Sintomas: Similar dengue
• Evolução fatal: 4-5 dias

DESTAQUE: EPIDEMIOLOGIA 2024-2025 8.078 casos confirmados (Américas) 2.791 casos Brasil (↑74% vs 2024) PRIMEIRAS MORTES MUNDIAIS: 2 óbitos (BA)

DESTAQUE: MARCOS 2024: Primeira morte + transmissão vertical","Fontes: Brasil. MS. COE Nacional, 2024; Romero-Alvarez Escobar, 2018. PLoS Negl Trop Dis"
21,DESAFIO DIAGNÓSTICO,,"DESTAQUE: PROBLEMA: SINTOMAS SIMILARES 4 vírus + sintomas sobrepostos + reações cruzadas

DESTAQUE: Próxima seção: Métodos diagnósticos avançados

DESTAQUE: SOLUÇÃO: DIAGNÓSTICO MOLECULAR RT-PCR específico para cada vírus","Fontes: Peeling et al., 2010. Nature Rev Microbiol; Guzman Harris, 2015. Lancet"
22,DIAGNÓSTICO: ERA MOLECULAR,‍ ALUNO 4 - Diagnóstico e Epidemiologia Avançada Duração: 7:30 - 10:00,"RT-PCR TEMPO REAL (Padrão Ouro):
• Detecção: RNA viral (1-7 dias)
• Especificidade: >99%
• Quantificação: Carga viral (cópias/mL)
• Diferenciação: Sorotipos específicos

ANTÍGENO NS1 (Dengue):
• Proteína não-estrutural solúvel
• Janela: 1-9 dias pós-sintomas
• Teste rápido: Disponível SUS
• Correlação: Viremia e gravidade

SOROLOGIA IgM/IgG:
• IgM: 5-90 dias (infecção recente)
• IgG: >90 dias (infecção passada)
• Limitação: Reações cruzadas flavivírus

DESTAQUE: DESAFIO: Co-circulação + sintomas similares = Diagnóstico diferencial complexo

DESTAQUE: INOVAÇÃO 2024 RT-PCR Multiplex PAHO: Mayaro + Oropouche simultâneo","Fontes: PAHO/WHO RT-PCR Protocols, 2019; Lanciotti et al., 1992. J Clin Microbiol"
23,VIGILÂNCIA EPIDEMIOLÓGICA: SISTEMAS INTEGRADOS,,"SISTEMA NACIONAL (SINAN):
• Notificação compulsória imediata
• Investigação epidemiológica 24h
• Monitoramento surtos em tempo real
• Análise espacial (SIG)

VIGILÂNCIA GLOBAL (OMS):
• GOARN (Outbreak Alert Response)
• Critérios ESPII ativação
• Compartilhamento sequências virais

INDICADORES CHAVE:
• Incidência por 100mil hab.
• Taxa mortalidade específica
• Índice infestação predial (IIP)
• Levantamento rápido índice Aedes (LIRAa)

INOVAÇÕES TECNOLÓGICAS:
• Apps móveis notificação
• Inteligência artificial predição
• Sensoriamento remoto (satélites)
• Big data climático

DESTAQUE: META: Detecção surtos 72h + resposta 7 dias","Fontes: WHO International Health Regulations, 2005; PAHO PLISA Platform"
24,MODELAGEM MATEMÁTICA: PREVISÃO EPIDÊMICA,,"VARIÁVEIS HUMANAS:
• S: Susceptíveis (população naive)
• E: Expostos (incubação 4-7 dias)
• I: Infectivos (viremia 1-7 dias)
• R: Recuperados (imunes)

VARIÁVEIS VETORIAIS:
• Sv: Mosquitos susceptíveis
• Ev: Mosquitos expostos
• Iv: Mosquitos infectivos
• Capacidade suporte (K)

FATORES CLIMÁTICOS:
• Temperatura: desenvolvimento larvário
• Precipitação: criadouros disponíveis
• Umidade: sobrevivência adultos
• El Niño/La Niña: padrões multi-anuais

APLICAÇÕES PRÁTICAS:
• Timing campanhas controle
• Alocação recursos saúde
• Avaliação impacto intervenções
• Cenários vacinação dengue

DESTAQUE: MODELOS COMPARTIMENTAIS S-E-I-R + Dinâmica Vetorial

DESTAQUE: R₀ CRÍTICO: Dengue (2-6), Chikungunya (3-5), Zika (2-3)","Fontes: Ferguson et al., 2016. Science; Chowell et al., 2016. PLoS Curr Outbreaks"
25,GEOTECNOLOGIAS: MAPEAMENTO RISCO,,"SENSORIAMENTO REMOTO:
• MODIS: Temperatura superfície
• Landsat: Uso solo urbano
• CHIRPS: Precipitação acumulada
• SRTM: Elevação e drenagem

ANÁLISE ESPACIAL:
• Autocorrelação espacial (Morans I)
• Clusters temporais (scan statistics)
• Kernel densidade casos
• Superfícies interpolação

FATORES DE RISCO:
• Densidade populacional
• Índice vulnerabilidade social
• Cobertura saneamento
• Proximidade corpos dágua
• Vegetação urbana (NDVI)

FERRAMENTAS OPERACIONAIS:
• InfoDengue (alertas automáticos)
• ArcGIS Online (mapas dinâmicos)
• R Spatial (análises estatísticas)
• Google Earth Engine

DESTAQUE: PRODUTOS GERADOS Mapas risco transmissão Priorização áreas controle Alocação equipes campo Monitoramento intervenções",
26,LABORATÓRIO: REDES DIAGNÓSTICAS,,"ESTRUTURA HIERÁRQUICA:
• Nível 1: Teste rápido NS1/IgM
• Nível 2: RT-PCR sorotipos
• Nível 3: Sequenciamento genético
• Referência: Evandro Chagas (PA)

FLUXOS TEMPORAIS:
• Coleta → Teste rápido: <24h
• RT-PCR resultado: 24-48h
• Sorotipagem: 48-72h
• Sequenciamento: 5-7 dias

CONTROLE QUALIDADE:
• Painéis soro-controle
• Proficiência laboratorial
• Certificação ISO 15189
• Auditoria externa

SISTEMAS INFORMAÇÃO:
• GAL (Gerenciador Ambiente)
• SIVEP-DDA (vigilância)
• Códigos rastreabilidade
• Relatórios automáticos

DESTAQUE: REDE NACIONAL LABORATORIAL 5 Laboratórios Centrais (LACEN)

DESTAQUE: META SUS: 80% amostras processadas 48h",
27,BIOSSEGURANÇA LABORATORIAL,,"NÍVEL BIOSSEGURANÇA 2 (NB-2):
• Dengue, Zika, Chikungunya (diagnóstico)
• Cabine fluxo laminar Classe II
• EPI completo (N95, óculos, luvas)
• Acesso controlado pessoal treinado
• Desinfecção superfícies

NÍVEL BIOSSEGURANÇA 3 (NB-3):
• Febre Amarela (manipulação cultivos)
• Laboratório selado pressão negativa
• Filtros HEPA entrada/saída
• Roupas proteção descartáveis
• Monitoramento médico funcionários

INATIVAÇÃO VIRAL:
• Calor: 56°C/30min ou 100°C/5min
• Químicos: Hipoclorito 0,5%, etanol 70%
• UV-C: 254nm/30min
• Autoclave: 121°C/15min/15psi

DOCUMENTAÇÃO OBRIGATÓRIA:
• Inventário agentes biológicos
• Registros acidentes/incidentes
• Treinamentos biossegurança
• Planos emergência
• Licenças ambientais

DESTAQUE: CLASSIFICAÇÃO RISCO Arbovírus = Grupo de Risco 2-3 (OMS)

DESTAQUE: ZERO ACIDENTES: Protocolo rígido + treinamento contínuo",
28,EPIDEMIOLOGIA: DESAFIOS ATUAIS,,"EVOLUÇÃO VIRAL CONTÍNUA:
• Novas linhagens DENV
• Escape imunológico
• Virulência alterada
• Adaptação climática

DISPERSÃO GLOBAL:
• Viagens internacionais
• Comércio (pneus, bambu)
• Mudanças climáticas
• Urbanização descontrolada

SUBNOTIFICAÇÃO CRÔNICA:
• Casos assintomáticos (80%)
• Acesso limitado diagnóstico
• Capacidade laboratorial
• Variações regionais

DESTAQUE: CO-CIRCULAÇÃO VIRAL 4+ vírus simultaneamente Sintomas clínicos sobrepostos Reações cruzadas sorológicas Diagnóstico diferencial complexo

DESTAQUE: Próxima seção: Estratégias controle e prevenção

DESTAQUE: CENÁRIOS FUTUROS Expansão geográfica + intensificação + emergência novos vírus",
29,CONTROLE VETORIAL: ESTRATÉGIA INTEGRADA,‍ ALUNO 5 - Controle Vetorial e Prevenção Duração: 10:00 - 12:30,"1⃣ CONTROLE FÍSICO:
• Eliminação criadouros
• Vedação caixas dágua
• Telas mosquiteiros
• Drenagem águas paradas

2⃣ CONTROLE QUÍMICO:
• Larvicidas (Bt, metoprene)
• Adulticidas (UBV, termo-nebulização)
• Repelentes pessoais
• Rotação produtos (resistência)

3⃣ CONTROLE BIOLÓGICO:
• Bacillus thuringiensis
• Peixes larvófagos (Poecilia)
• Copépodes predadores
• Fungos entomopatogênicos

4⃣ CONTROLE GENÉTICO:
• Técnica Inseto Estéril (SIT)
• Mosquitos transgênicos
• Gene drive systems
• Wolbachia (IIT, Population Replacement)

DESTAQUE: SUCESSO = Combinação métodos + sustentabilidade + participação comunitária

DESTAQUE: ESTRATÉGIA OMS Gestão Integrada Vetores (IVM)","Fontes: WHO Global Vector Control Response, 2017; Morrison et al., 2008. Am J Trop Med Hyg"
30,INOVAÇÕES: CONTROLE GENÉTICO,,"MOSQUITOS TRANSGÊNICOS (OX513A):
• Gene tTAV letal dominante
• Descendência morre antes reprodução
• Redução população 90-95%
• Testes: Cayman, Brasil, Malásia

WOLBACHIA (wMel, wAlbB):
• Bactéria intracelular obrigatória
• Reduz carga viral 40-75%
• Incompatibilidade citoplasmática
• World Mosquito Program

GENE DRIVE:
• Sistema CRISPR/Cas9
• Herança super-mendeliana
• Propagação população selvagem
• Status: Pesquisa laboratorial

TÉCNICA INSETO ESTÉRIL (SIT):
• Irradiação gama machos
• Esterilidade reprodutiva
• Redução progênie
• FAO/IAEA programa global

DESTAQUE: DESAFIOS REGULATÓRIOS Aprovação ética científica Aceitação comunitária Impacto ambiental Biossegurança

DESTAQUE: BRASIL: Pioneiro mundial testes campo controlados","Fontes: Carvalho et al., 2015. PLoS Negl Trop Dis; Hoffmann et al., 2011. Cell"
31,MANEJO RESISTÊNCIA: ESTRATÉGIAS MRI,,"ROTAÇÃO INSETICIDAS:
• Ciclos 2-3 anos máximo
• Diferentes modos ação
• Monitoramento susceptibilidade
• Mapas resistência regionais

NOVOS PRODUTOS:
• Pirimifós-metil (organofosforado)
• Clothianidin (neonicotinóide)
• Spinosad (biológico)
• Formulações time-release

BIOENSAIOS PADRONIZADOS:
• Teste suscetibilidade OMS
• Dose diagnóstica (DD)
• Tempo letal 50% (TL50)
• Intensidade resistência

MECANISMOS MOLECULARES:
• Sequenciamento gene kdr
• Atividade esterases
• Citocromo P450
• Glutationa-S-transferase

DESTAQUE: SITUAÇÃO CRÍTICA BRASIL 60% populações resistentes

DESTAQUE: ESTRATÉGIA MRI (WHO) Manejo pró-ativo resistência Preservação susceptibilidade Uso racional inseticidas Alternativas não-químicas",
32,PREVENÇÃO: VACINAÇÃO DENGUE,,"DENGVAXIA (Sanofi):
• Vírus quimérico YF-17D
• 4 sorotipos simultâneos
• Eficácia: 60% global
• Restricção: Soropositivos prévios
• WHO: >9 anos + endêmica

QDENGA (Takeda):
• Vírus vivo atenuado DENV-2
• Aprovação: 2023 (ANVISA)
• Eficácia: 70-84% (sorotipos)
• Indicação: 4-60 anos
• Esquema: 2 doses (0, 3 meses)

INCORPORAÇÃO SUS 2024:
• Campanha nacional inédita
• Meta: 3,2 milhões adolescentes
• Idades: 10-14 anos
• Municípios >100mil hab.

VACINAS FUTURAS:
• TV003/TV005 (NIAID)
• DENVax (Merck)
• Vacinas DNA/mRNA
• Plataformas vetores virais

DESTAQUE: CONSIDERAÇÕES CRÍTICAS Não substitui controle vetorial Monitoramento segurança contínuo Educação profissionais saúde Vigilância pós-comercialização

DESTAQUE: IMPACTO MODELADO Cobertura 70% = 40-50% incidência dengue",
33,EDUCAÇÃO E MOBILIZAÇÃO SOCIAL,,"EDUCAÇÃO FORMAL:
• Currículo escolar: arboviroses
• Material didático adaptado
• Capacitação professores
• Projetos interdisciplinares
• Ciência cidadã (MonitorAr)

COMUNICAÇÃO DIGITAL:
• Apps móveis educativos
• Redes sociais segmentadas
• Gamificação prevenção
• Influencers saúde
• Realidade aumentada

MOBILIZAÇÃO COMUNITÁRIA:
• Agentes comunitários saúde
• Lideranças locais
• Organizações religiosas
• Associações moradores
• Movimentos sociais

ESTRATÉGIAS CRIATIVAS:
• Teatro educativo
• Música e jingles
• Concursos arte
• Mascotes personagens
• Campanhas virais

DESTAQUE: MENSAGENS-CHAVE EDUCAÇÃO Eliminar água parada (10 minutos/semana) Sintomas de alerta gravidade Procurar serviços saúde precocemente Não automedicação (aspirina proibida) Proteção individual (repelentes, roupas)

DESTAQUE: EMPODERAMENTO: Comunidade = protagonista controle","Fontes: Parks Lloyd, 2004. Trop Med Int Health; Toledo et al., 2011. Cad Saúde Pública"
34,POLÍTICAS PÚBLICAS: GOVERNANÇA MULTISETORIAL,,"MARCO LEGAL:
• Lei 13.301/2016 (acesso domicílios)
• Portaria 1.378/2013 (PNCD)
• Decreto 7.616/2011 (emergência)
• Resolução CIT 8/2017

FINANCIAMENTO:
• Bloco custeio vigilância
• Incentivo PAB variável
• Emendas parlamentares
• R 1,2 bilhão anual (estimado)

INTERSETORIALIDADE:
• Saúde + Educação + Meio Ambiente
• Saneamento + Habitação
• Defesa Civil + Segurança
• Comitês gestão integrada

MONITORAMENTO:
• Pacto pela Saúde (indicadores)
• Relatórios gestão trimestral
• Avaliação externa
• Transparência dados

DESTAQUE: DESAFIOS GESTÃO Fragmentação responsabilidades Recursos insuficientes Capacidade técnica limitada Rotatividade gestores

DESTAQUE: FRAMEWORK BRASIL Plano Nacional Controle Dengue (PNCD)

DESTAQUE: BOAS PRÁTICAS Comitês intersetoriais ativos Planejamento baseado evidências Participação social efetiva Sustentabilidade programas",
35,ONE HEALTH: ABORDAGEM INTEGRADA,,"INTERFACE HUMANO-ANIMAL:
• Primatas não-humanos (FA silvestre)
• Animais peridomésticos
• Vigilância zoológicos
• Medicina veterinária

INTERFACE AMBIENTE:
• Mudanças climáticas
• Desmatamento e urbanização
• Biodiversidade e ecossistemas
• Poluição e saneamento

PESQUISA TRANSLACIONAL:
• Modelos animais experimentais
• Ecologia vetores
• Dinâmica transmissão
• Vacinas e antivirais

GOVERNANÇA INTEGRADA:
• Comitês multissetoriais
• Políticas interministeriais
• Capacitação profissional
• Financiamento conjunto

DESTAQUE: BENEFÍCIOS ABORDAGEM Detecção precoce emergências Resposta coordenada eficaz Redução custos saúde Sustentabilidade ambiental Equidade e justiça social

DESTAQUE: Próxima seção: Conclusões e perspectivas futuras

DESTAQUE: ONE HEALTH = UMA SÓ SAÚDE Humanos + Animais + Ambiente = Saúde Global

DESTAQUE: COLABORAÇÃO GLOBAL: OMS + FAO + OIE + UNEP",
36,LIÇÕES APRENDIDAS: 30 ANOS DENGUE BRASIL,‍ ALUNO 6 - Conclusões e Perspectivas Futuras Duração: 12:30 - 15:00,"DESAFIOS PERSISTENTES:
• Controle vetorial insustentável
• Resistência inseticidas crescente
• Urbanização descontrolada
• Mudanças climáticas aceleradas
• Recursos limitados vs demanda

SUCESSOS ALCANÇADOS:
• Sistema vigilância robusto
• Capacidade diagnóstica ampliada
• Redução mortalidade (<0,1%)
• Manejo clínico padronizado
• Vacinação incorporada SUS

INOVAÇÕES EMERGENTES:
• Controle genético (Wolbachia)
• Diagnóstico Point-of-Care
• Modelagem preditiva IA
• Telemedicina rural
• Vacinas próxima geração

PERSPECTIVAS 2030:
• Abordagem One Health
• Sustentabilidade ambiental
• Equidade acesso saúde
• Preparação próximas pandemias
• Cooperação internacional

DESTAQUE: IMPACTO ACUMULADO 1990-2024 15M+ Casos dengue notificados","Fontes: Bhatt et al., 2013. Nature; Stanaway et al., 2016. PLoS Negl Trop Dis"
37,CENÁRIOS FUTUROS: 2025-2050,,"CENÁRIO INTERMEDIÁRIO:
• Clima: +2°C controlado
• Tecnologia: Controle genético
• Vacinas: Multivalentes eficazes
• Vigilância: IA preditiva
• Cooperação: Global coordenada

DESTAQUE: CENÁRIO PESSIMISTA Clima: +3°C até 2100 Expansão: Aedes → temperadas Casos: +2 bilhões expostos Novos vírus: Usutu, Mayaro urbano Resistência: Total inseticidas

DESTAQUE: FATORES DETERMINANTES Compromisso político sustentado Investimento PD acelerado Ação climática efetiva Cooperação internacional Participação comunitária ativa

DESTAQUE: PESQUISAS PRIORITÁRIAS Vacinas universais + Antivirais específicos + Controle genético sustentável

DESTAQUE: CENÁRIO OTIMISTA Clima: +1,5°C Paris Accord Eliminação: Urbana Aedes aegypti Vacinas: Pan-flavivírus Antivirais: Tratamento específico One Health: Implementação global",
38,RECOMENDAÇÕES ESTRATÉGICAS,,"FORTALECIMENTO SISTEMAS SAÚDE:
• Capacidade diagnóstica descentralizada
• Manejo clínico padronizado
• Vigilância genomica rotineira
• Telemedicina áreas remotas
• Formação profissional contínua

INOVAÇÃO CONTROLE VETORIAL:
• Escalonamento Wolbachia
• Desenvolvimento novos larvicidas
• Manejo integrado resistência
• Biocontrole sustentável
• Monitoramento em tempo real

AMPLIAÇÃO VACINAÇÃO:
• Cobertura nacional QDENGA
• Vacinas próxima geração
• Estratégias diferenciadas
• Vigilância pós-comercialização
• Acesso equitativo

COOPERAÇÃO INTERNACIONAL:
• Compartilhamento dados virológicos
• Transferência tecnologia
• Financiamento conjunto PD
• Resposta coordenada emergências
• Capacitação técnica mútua

DESTAQUE: ROI: Cada dólar investido = 10-15 dólares economizados

DESTAQUE: INVESTIMENTO NECESSÁRIO US 30-50 bilhões globais (2025-2035) Retorno: US 300-500 bilhões (custos evitados)",
